PC1	PC2	PC3	PC4	PC5	V6	V7	V8	V9	V10	race	ldpred	residual_score	residual_score2
-0.0139188309093473	0.0273413244855008	-0.00545906914975434	-0.020050406970841	0.000872044828914627	-0.00425016447736493	-0.011516270501558	0.00341197683933965	-0.00283805041799545	-0.00202135034915688	EUR	0.521949	0.334293121130303	0.11175189083504
-0.0139107821606021	0.0276062122172822	-0.00519274073468958	-0.0192315038215832	-0.00089656469847471	-0.00448953702241133	-0.0134085681741409	0.00473146081002418	-0.00112841025906343	-0.000807073615898585	EUR	0.0258564	-0.160180349312394	0.0256577443058405
-0.0137631106070143	0.0268178069128956	-0.00560830064942299	-0.0188092975146057	-0.000149565541703524	-0.0056580551931557	-0.0147880217371457	0.00347922845576489	-0.00431626504566211	0.000112539664720619	EUR	0.29813	0.108339820398713	0.0117375166840254
-0.0136581679631946	0.0273021428821206	-0.00504394126321112	-0.019116734963055	-0.00022986588653186	-0.00409617601236394	-0.00679722415303435	0.00173409827975964	-0.00524698185229024	-0.00130500011553252	EUR	0.855904	0.667584660014013	0.445669278286026
-0.0137241777632608	0.0271968845266883	-0.00623592973842314	-0.0200771780873339	-0.000430745830025175	-0.00642552854682384	-0.0176082944821016	0.0020263534791086	-0.000981700122261805	-0.000610126675692587	EUR	0.571336	0.382696054238882	0.146456269930009
-0.0140411842543436	0.0268787505247743	-0.00554032180723072	-0.0184093676038306	-0.00156175140910867	-0.00500000680715683	-0.0174602458119011	0.00158473616238037	-0.000594858154397504	-0.00243930252068592	EUR	0.163706	-0.0246395029762864	0.000607105106918426
-0.0137123664638634	0.0268981650686315	-0.00547515737112318	-0.0195337717110615	-0.00138188688758277	-0.00377672810147794	-0.0107117401941853	0.00371340807106148	-0.0036165532495068	-0.00301032413580277	EUR	0.591097	0.400991045239391	0.160793818362179
-0.0138541713620961	0.02727318780259	-0.0051299835707226	-0.0188409789931885	-3.92590705605265e-05	-0.0046319508948054	-0.0106948490744878	0.0071194759604635	-0.00176085020052692	-0.00167973561845875	EUR	0.290964	0.103383072112209	0.0106880595993583
-0.0140332561105934	0.0271021421450809	-0.0046978295199433	-0.0183324909115719	-0.00022528818479617	-0.00323470624204772	-0.00729746066171572	0.00592885413911769	-0.0011200131554746	-0.00174297204909528	EUR	0.310075	0.122406476754974	0.0149833455515661
-0.0139809019158844	0.0266952855844219	-0.00568082573007193	-0.0190112573342641	-0.000472566329044274	-0.00558814498353697	-0.0168060029204447	0.00723710042564828	0.00115376895598057	-0.000718639905716652	EUR	-0.186928	-0.376659228991839	0.141872174784727
-0.013632979754211	0.0268705006793484	-0.00492205569205416	-0.0187922174125737	-0.000279900606312489	-0.00507474158826765	-0.0159514726632007	0.00427700422666568	-0.00226992288426503	0.00239794453975875	EUR	-0.494359	-0.684652869457631	0.468749551656568
-0.0136953800184814	0.0272220621627459	-0.00566397950113869	-0.0210773693105016	0.000158257073753411	-0.00366705656486273	-0.00894173036777235	0.00227491163206805	-0.00346599874043344	-0.00115753716472251	EUR	0.259724	0.0701971818800423	0.00492764434389974
-0.01379101979617	0.0267144404193316	-0.00526271823974276	-0.019894711246429	-0.000258380737104004	-0.00582489331801232	-0.0139485256515304	0.00393163699520779	-0.00224277403477122	0.00376284955209789	EUR	0.482436	0.291395673332112	0.0849114384366751
-0.0138152500056416	0.0274340714678381	-0.00532901575139422	-0.0182671742729009	-0.000811948420888503	-0.00545963811809093	-0.0178904343450293	0.00418890762669192	-0.00222240063101725	-0.000707995433273859	EUR	0.789377	0.602885301156058	0.363470686350031
-0.0139177723169708	0.0269243589727386	-0.00499131504587607	-0.0195950722163251	0.000788581099253831	-0.00261550760327191	-0.0145658808381453	0.00253822250186735	-0.00260880457348139	-0.00046464962567355	EUR	0.0747639	-0.114797172201083	0.0131783907453652
-0.0138584775930557	0.0275079762174851	-0.00497544610673431	-0.0191755617688643	-0.000591303796502506	-0.00385172649754403	-0.0129117658534311	0.004092689165294	-0.00411441711538202	-0.00200250651362937	EUR	-0.0788495	-0.265593627250964	0.0705399748363242
-0.0136731974299415	0.0269213552187847	-0.00458314230558383	-0.0205308183065201	-0.000787746185407599	-0.00582995449649419	-0.0142605557833713	0.0027016483534386	-0.00100121434225235	-0.0018423460154095	EUR	0.704652	0.513464806009568	0.263646107010444
-0.0135580699211523	0.0273141912294356	-0.00526644234355369	-0.0193700468596952	-0.00046103616126166	-0.00422767469009002	-0.0123689988665983	0.00282597369186668	-0.00285443664511757	0.001208964773208	EUR	0.1534	-0.0352543911018326	0.00124287209196097
-0.0139713900287115	0.0276484552819616	-0.0051790826993799	-0.0200567012088749	-0.00135299117299613	-0.00665616920273277	-0.0138439399219642	0.00589590246296273	-0.00243503458248666	0.00214370568028702	EUR	0.592247	0.406081244552128	0.164901977177005
-0.0140179914255585	0.0270235457455661	-0.00522555601259327	-0.0190942813449547	-0.000256272512631898	-0.00422010054996379	-0.0132726548339229	0.0043865002599764	-0.00183150656954971	0.00336538891699812	EUR	0.861149	0.672823514066881	0.452691481081307
-0.0138040275856312	0.0271185936995675	-0.00549137863152597	-0.0184260824183206	-0.000208424673033782	-0.0049438868037175	-0.0144611656465949	0.0057153579870278	-0.00182870064097005	0.00164464765861228	EUR	0.235297	0.047253502547918	0.00223289350304609
-0.0137421193176918	0.0271393425669574	-0.00588913394384504	-0.019193755659245	-0.00032760540562997	-0.00544264022293065	-0.0122667631688493	0.00374741793867956	-0.00121571482064872	-0.000221660642308142	EUR	0.11889	-0.0695634984718808	0.00483908031964736
-0.0140608465731272	0.0273385276637356	-0.00518458945711085	-0.0202419454328384	-0.000473579986775095	-0.00570041014884511	-0.0149633111419765	0.00377376365851716	-0.0022331469965916	0.000993923846777088	EUR	1.45967	1.27222562364746	1.61855803746517
-0.0139343467198281	0.0266276610333967	-0.00502367836850414	-0.0189683173833	-0.000488739573953424	-0.00368730333705956	-0.0147922486445844	0.00423240925840854	-0.00162554872505327	0.000578044819460287	EUR	1.29293	1.10243793838889	1.21536940799915
-0.0140309147162428	0.0275315780768502	-0.0055584372609079	-0.0203103792990848	-0.000496685586349676	-0.00395099582951722	-0.00982832406175585	0.00495622267405274	-0.0021346880697799	-0.000412289073912368	EUR	0.0390351	-0.147463953246174	0.0217456175069898
-0.0138646043298537	0.0276122575355679	-0.00414328716221331	-0.0185549239396358	-0.00094960451730861	-0.00407835028573773	-0.012480366630948	0.00435001958840615	0.00075375620658827	-0.000673304589280346	EUR	-0.205161	-0.391392180582637	0.153187839021232
-0.0137532351211915	0.026541245046414	-0.00578012617021387	-0.0188764474766748	0.000456444856644216	-0.0062422577351538	-0.0185208136989288	0.0040104479432345	-0.0023145311391602	1.69892236481512e-05	EUR	0.697567	0.506476302959181	0.2565182454592
-0.0139317761412134	0.0277225024564977	-0.00490647239888486	-0.0201859334000153	0.000641077527131701	-0.00404984469769941	-0.0114224248243939	0.00159222312482047	-0.000912064847018943	0.00324986725008451	EUR	0.783943	0.59778196361306	0.357343276021086
-0.0140960505090432	0.0273368393247069	-0.00586119458685265	-0.0197508642291277	-0.000897386260955076	-0.00385454382589279	-0.00615091337081618	0.00447278536539126	-0.00198649802211984	-0.000634231059602721	EUR	0.261779	0.0750793847461849	0.00563691401386566
-0.0137827339503838	0.0278744493938214	-0.00488583641737507	-0.0201255981424032	0.000551500115581689	-0.00365835447698	-0.0082082054580561	0.00668508640973524	-0.00363393044021868	0.000682101375596137	EUR	0.686263	0.500347444882366	0.250347565600312
-0.0137340690535003	0.0269194398361956	-0.00523466624875763	-0.0191934862834681	-0.00178505482232379	-0.00616242380029734	-0.0119632607995937	0.000764627570250937	-0.000653504673848922	-0.00121369956583689	EUR	-0.332757	-0.522587082347826	0.273097258636814
-0.0134578444895453	0.0276702964480569	-0.00472446735075849	-0.0196083891958748	0.00096298893465139	-0.00176750837559167	-0.00401317549004906	0.000660619288752651	-0.00233082953454023	0.000842432087494851	EUR	0.866549	0.678830308752445	0.460810588080939
-0.013552444947852	0.0272571088042932	-0.00494509671697678	-0.0197512085151944	-0.00165985302174427	-0.0027631114820808	-0.00662655973010406	0.00498653003795995	-0.00234855159428909	0.00273924059530009	EUR	-0.0907341	-0.280072556261162	0.0784406367706619
-0.0137693011981937	0.0275236671456602	-0.00559853505134194	-0.0196588637574934	-0.000343106722095087	-0.00310316580490831	-0.00613502499953367	0.00141579931971824	-0.00295452777572733	-9.17092872837308e-05	EUR	0.225188	0.0382066193722213	0.00145974576385379
-0.0138124736094216	0.0276997913225269	-0.00518141484750755	-0.0196189749818773	-0.000154681529629457	-0.00326288854414664	-0.00718995016140967	0.00437326038406398	-0.00320248608938408	-0.000202965847465476	EUR	0.643154	0.456976682403987	0.208827688260954
-0.0138258868203735	0.0268395705344577	-0.00569418168635289	-0.0195947486999281	0.000127018717026111	-0.00545345625618957	-0.0121727009898394	0.00270908183209328	-0.00171505926923106	-0.000647972804771165	EUR	-0.17482	-0.364755993123465	0.133046934519485
-0.0137666876931119	0.0274488801597091	-0.00526828018063833	-0.0196161088609769	0.00107428465776516	-0.00417864279776557	-0.00744769688849134	0.00249940051066172	-0.00145468823924883	7.8636425846588e-05	EUR	-0.225135	-0.412608129514539	0.170245468541487
-0.0136604562413527	0.0269477069682526	-0.0052806937782534	-0.0196420751844265	0.00135663732529599	-0.00286356836847552	-0.00886755226210674	0.000840863992098137	-0.0016353666449462	0.00111084782560821	EUR	0.159658	-0.0305498169995585	0.000933291318706513
-0.0137279311595015	0.0276949865974266	-0.00511767052107716	-0.0199214465000401	-0.00116516047017007	-0.00334870281182798	-0.00804907462014737	-9.63598167303296e-05	-0.00166763964349821	-0.00301057003208507	EUR	0.0622496	-0.124457473456004	0.0154896626990519
-0.0138195849002445	0.0274437427442617	-0.00519049470876186	-0.0192491970360951	0.000197905351504493	-0.00505214418055514	-0.0140860904290867	0.00314878418225624	-0.000681904288614912	0.000903454676515932	EUR	0.454795	0.267672114289497	0.0716483607682098
-0.013969150151392	0.0274251037113322	-0.00513917919610487	-0.0188083017733931	-0.00106352697055845	-0.00507032019249823	-0.0122808958632809	0.00498777726290511	-0.000141323803018159	0.000799300966388246	EUR	0.734496	0.5480441216008	0.300352359221192
-0.013645790583028	0.0273814018883092	-0.00431641026230432	-0.0203045198527962	-6.92297267835078e-05	-0.00223205369911649	-0.00825414189879367	0.00529772451797913	-0.000902043126826644	-0.000291221345767001	EUR	1.01626	0.827170938660923	0.684211761765192
-0.0138576155782793	0.0276764876513642	-0.00433827046670887	-0.0195657297321243	-0.000443633024328495	-0.00437697082759323	-0.00860120186015264	0.00271616885559639	-0.00158415100583048	-0.000139434783000049	EUR	0.528766	0.342263455939942	0.117144273271953
-0.0139952755530166	0.0268267633308514	-0.00534618523270213	-0.0200328418748638	-0.000238070709669429	-0.00345872138574041	-0.00895854845699914	0.00475188006630377	-0.00474085430641465	0.00149983699002901	EUR	-0.0868004	-0.276672202245776	0.0765475074955273
-0.0139623051271452	0.0272923507881958	-0.00573019680097341	-0.0202156105876269	-0.000416887225248803	-0.00283101291619247	-0.00546708177604573	0.00586241659724325	-0.000441192486637735	-0.000110461917332514	EUR	0.371808	0.184090525414947	0.0338893215475511
-0.0139376562470591	0.0276398203003185	-0.00517716221083361	-0.0204469213054503	0.000232731799643375	-0.00461435014639976	-0.0101855591697139	0.00575486607944975	-0.00174774472161132	-0.00234032315588916	EUR	0.340964	0.154394610334279	0.0238376957002738
-0.0134809028510367	0.0277858270286042	-0.00632587496613595	-0.0205706565070207	-0.0015073437539192	-0.00432119084123663	-0.0114958258678286	0.00465633532944593	0.000812840917857727	-0.000528429518163319	EUR	0.285437	0.0984896308833867	0.00970020739154576
-0.0136681335347326	0.0269444211291691	-0.00548201379974209	-0.020160349254912	0.000611876600511601	-0.00529896042865079	-0.0108724924004917	0.00270884275286358	-0.00266754377567884	0.000792528698716864	EUR	0.994657	0.804224990377507	0.646777835147702
-0.0135899415739462	0.0267270397920512	-0.00529248649370475	-0.0193240849143417	0.000324875840925779	-0.00212541801590493	-0.00644822305376172	0.0039745413613089	-0.00173166900878543	0.00139577977764488	EUR	-0.568223	-0.759501812791622	0.57684300363376
-0.0138571171489898	0.028293568113211	-0.00619958615027972	-0.0209908681403066	-0.000344761380785297	-0.0008869053166193	-0.00705566086406556	0.00257760782549206	-0.00157100062406089	1.33227773793398e-05	EUR	1.27104	1.08742716531367	1.18249783986211
-0.0139085783241937	0.0270658133187036	-0.0058735835536975	-0.0187809273345335	0.000867718028887816	-0.00471602147591336	-0.011903034144255	0.0049570942266884	-0.00133347710067047	-0.00126660367832095	EUR	0.611128	0.423142142851999	0.179049273057382
-0.0136540899381644	0.0274596556269273	-0.00546106260721913	-0.0200723694041785	0.000120517177208357	-0.00508683141514508	-0.0113042327560264	0.00163584725456589	-0.00219591198559362	-0.00204331666380542	EUR	0.796821	0.608821393696524	0.370663489422578
-0.0136740121264364	0.0268101322471459	-0.00612322365482609	-0.0190702123488291	6.7347518194994e-05	-0.00460450636248008	-0.0114522290448836	0.00222648463429116	0.000888009171914747	0.000374934568080387	EUR	0.482829	0.29278172700147	0.0857211396659636
-0.0137084991882176	0.0268852289352209	-0.00582077864258532	-0.0197746747619568	-0.000262005930783779	-0.00243694923885621	-0.0115658419919768	0.00456383990975432	-0.00281873724077331	-0.00207790623424471	EUR	0.270264	0.08009476798994	0.00641517185936231
-0.0139877206332147	0.027656573970094	-0.00632108907098548	-0.019661084072477	0.000473467861612749	-0.00479201198440666	-0.00904764405350481	0.000617988219208053	-0.00250718647929002	-0.00232854742005813	EUR	0.176217	-0.00906069154943467	8.20961313539969e-05
-0.0142162684067482	0.0219567038459799	-0.00690457697075209	-0.0170984703816345	-0.00226971510872005	-0.0208856137242666	-0.0865105013314902	0.00643840443439767	0.00743860857889359	-0.000674537927674168	EUR	0.43792	0.228399047827149	0.0521661250483484
-0.0141454843449768	0.0227784297415449	-0.0067981097323268	-0.0177981815615681	-0.000462418946475029	-0.0211758049475871	-0.0815120868310035	0.00963586233172476	0.00671451393981355	-0.00205713023649031	EUR	0.0689116	-0.137462456292673	0.0188959268900151
-0.0140366520055269	0.0243299366638303	-0.00754039627122776	-0.0196685633360105	-0.00114847936574108	-0.0153293794328555	-0.0624053244732806	0.00806467302311951	0.00355399962285624	-0.00137923241786134	EUR	0.520409	0.32015848505172	0.102501455550613
-0.01411035296637	0.0225138512417784	-0.00753276431887189	-0.0177699166825094	-0.000653676029715536	-0.0206058464196647	-0.0831491451364876	0.00955774072478209	0.00398309728595303	-0.00119924985381304	EUR	0.999096	0.791721469001169	0.62682288447737
-0.0136963944237351	0.0213530259075448	-0.0067321796009674	-0.0174559063747948	-0.000558184585603154	-0.0202002526041321	-0.0802760276738589	0.00396868205671498	0.00542648938996399	0.00210596184220137	EUR	-0.00538757	-0.219816262187008	0.0483191891218676
-0.0140673270750655	0.0229442245070273	-0.00698107710219614	-0.018675618486318	-0.000667235843172117	-0.0182595335347234	-0.074160777163668	0.00606046990648196	0.00477600939727541	-0.00120834462056841	EUR	-0.441745	-0.648070607825294	0.419995512727046
-0.0137822088956664	0.0224750096485183	-0.00627771640272303	-0.0181206609257005	-0.000969260607177552	-0.0173458955380058	-0.0727834230938978	0.00664761050356717	0.00643783323843453	0.00284994172112212	EUR	-0.622374	-0.831854592643309	0.691982063301765
-0.0141202428060579	0.0225635653319271	-0.0068131647145381	-0.0191493314155975	-0.00169164140422214	-0.0188386580580098	-0.0706147880621191	0.00525541844293355	0.00471481144211046	-0.0017325915177774	EUR	-0.221533	-0.429860280548915	0.184779860793592
-0.0131103542580019	0.0231510576379107	-0.00497400330780642	-0.0172268848686928	-0.00100964194648491	-0.0104764732822331	-0.0480185541835147	0.000311815774728424	0.00557374516719229	-8.07919762690259e-05	EUR	-0.505907	-0.714502404932477	0.510513686654293
-0.0139015249420942	0.0221705221319671	-0.00713766220775517	-0.0163679027946029	-0.00231764831178521	-0.0206811197315799	-0.0799465273330191	0.00535211194790152	0.00623898341210331	0.00133434397170857	EUR	0.10566	-0.103332465271921	0.0106775983791727
-0.0138262216695144	0.0227702100324922	-0.00570560717578204	-0.0187558426744749	-0.00167644203983541	-0.0209928729264233	-0.082965452580678	0.00642210864690737	0.00469700609037859	-0.00204359837225309	EUR	0.303161	0.0945459854050788	0.00893894335621737
-0.0141404229774201	0.0221628524594542	-0.00636809927398878	-0.0187653306925855	-0.00168353777807583	-0.0193068274271228	-0.0856039438130801	0.00931266078545628	0.0043496114118739	-0.00170190030637422	EUR	0.246325	0.0362059964268024	0.00131087417725763
-0.0138414323519142	0.0224060036000387	-0.00683363428950996	-0.0183308400143017	-0.00053954447339781	-0.0192822130079935	-0.0833334577576787	0.00636641027406002	0.00620556664375864	-0.000304533350132436	EUR	0.146971	-0.0625061673290966	0.00390702095417302
-0.0139441094342098	0.0213263894221278	-0.00738141525424869	-0.017701288640459	-0.00129478062447454	-0.0207623273083563	-0.0861016678885405	0.00550624629153357	0.00652461633724161	0.0018711466684479	EUR	-0.0150323	-0.228602158098881	0.0522589466874659
-0.0140076276605065	0.0235945803142423	-0.00674229040224856	-0.0187310428965572	-0.00126289164473325	-0.0185681504673738	-0.0704478708842063	0.0065391474930607	0.00553600374500859	0.000354127834868583	EUR	0.10059	-0.103013320655816	0.010611744232538
-0.0138310727418696	0.0226975312904007	-0.00727914309571183	-0.0182693783595818	-0.000841568424605832	-0.0181052163223593	-0.0698471284812122	0.00565363223169072	0.00312953177959142	0.000791959578298606	EUR	0.729297	0.521412850643816	0.27187136081651
-0.0137642008316175	0.0225867675659044	-0.00492969280663495	-0.0176333265300347	-0.000743077487663035	-0.0181226971058021	-0.0676789852116278	0.0101475618251545	0.00445315649331071	-0.00105306521450337	EUR	0.840965	0.631621448297934	0.39894565394998
-0.013631338210812	0.0268232722444274	-0.00558688813364481	-0.0183471581465797	-0.00116700154457518	-0.00253054623136586	-0.00242715263408312	0.00186655954565301	-0.000891024830580533	-0.00161809946363458	EUR	-0.00203872	-0.191961639414722	0.0368492710067877
-0.0136804418820219	0.0276885665162249	-0.0050136998898835	-0.0184766997331381	-0.000637680021402779	-0.0032521179304067	-0.007686849673909	0.00343172531806086	-0.00229554705434699	0.00101107438161069	EUR	-0.128208	-0.314234023998719	0.0987430218384272
-0.0137119623535181	0.0274148343391752	-0.00502471953853797	-0.0189458153082036	-5.40995574735629e-05	-0.00280946808711114	-0.00773236450184347	0.00196708642472197	-0.00113452216955323	-0.00170445193623233	EUR	0.377381	0.18987441750658	0.0360522944234632
-0.0138091201269525	0.0273770582257208	-0.0049210966636633	-0.020160815149937	0.000571763378639752	-0.00330735614825342	-0.00767726484472813	0.00174101085112984	-0.00162313482708503	0.000341973922104504	EUR	-0.182754	-0.370935795966284	0.137593364729141
-0.0137676808017168	0.0269743219031776	-0.00467069731399575	-0.019030523841355	-0.000114448971741586	-0.00223942180309756	-0.00914732517663013	0.00359833133572311	-0.000182417174668347	0.00207031013235773	EUR	0.973467	0.783844819319472	0.614412700773976
-0.01358952756291	0.027428447396122	-0.00482125882850477	-0.0201428538243696	0.00108872800373208	-0.00359924270670181	-0.00841715861631199	0.00259719949737774	-0.00116769096244587	-0.00190495393963301	EUR	0.244864	0.0561510396260604	0.0031529392510874
-0.0137657407059179	0.0273155994556819	-0.00483349467975438	-0.0200341968014919	-0.00114195691096049	-0.00400307931365709	-0.00769394238890833	0.00415149266938017	0.000145396628843939	-0.00152211060681883	EUR	0.0975016	-0.0910772119409851	0.00829505853494312
-0.0138651875964186	0.0272406992347037	-0.0048510890698957	-0.0199504074793521	-0.00110770690599059	-0.00522856011592605	-0.00738471634680281	0.00342824802956795	-0.00233051026823467	0.000436640744929191	EUR	-0.308078	-0.496614674767813	0.24662613519474
-0.013745869714237	0.0277543862167	-0.0049869418592969	-0.0192261126172757	0.000728950870250399	-0.00441188364851435	-0.0135903017782379	0.00169780372880727	0.000398041036625059	-0.000697613099489679	EUR	0.691915	0.505929571703599	0.255964731524187
-0.0139570837336623	0.0273228013207906	-0.0049238099140019	-0.0195258258271122	-0.000483722637347197	-0.00437840934117697	-0.00890541387445803	0.000834415956889114	-0.0031682629716689	0.00269737355968373	EUR	0.93873	0.751194929794464	0.564293822548909
-0.0137609397550767	0.02704820578155	-0.00621534901764271	-0.0183890591770048	0.000304275683806476	-0.00377332724585875	-0.0104004514681715	0.00508585823012829	-0.0015277415238677	-0.00135905235677461	EUR	-0.704354	-0.892507024680961	0.796568789104862
-0.0137670254180159	0.0277293808463104	-0.00550065757016858	-0.0189144066845607	-0.000610327027814932	-0.0039297690582488	-0.00901056858910824	-0.000852609204706504	-0.00241117365683288	-0.00141234419161025	EUR	0.134149	-0.0514406946223487	0.00264614506322974
-0.0137209375336332	0.0275437413794802	-0.00548125456251849	-0.0192625052062519	-0.00149688197609259	-0.00328701049612954	-0.002686621188209	0.00167449947607346	-0.00191052836030799	0.000736176941566876	EUR	0.148477	-0.0383753271447068	0.00147266573346327
-0.0136074017771961	0.0265243965486807	-0.00511336206169525	-0.0185765503201312	0.000608855605807734	-0.0033650696838587	-0.00665400851383689	-0.000550689851254	-6.9516520008025e-05	-0.000145724070476241	EUR	0.198145	0.00635882091919293	4.04346034823656e-05
-0.0136533133439795	0.0268658322412925	-0.00532473074399804	-0.0197566066691143	-0.000476727081763476	-0.00314664449103109	-0.00437253198603282	0.00379168557202308	-0.00220754908861652	0.000518530360493665	EUR	1.11569	0.92501944960725	0.8556609821517
-0.0138289649633863	0.0274291670961364	-0.00544327771045257	-0.0194099023086104	0.00169594740262994	-0.00365953299430359	-0.007135621984238	0.0031848146559176	-0.00181047033753574	-0.00258564958872711	EUR	0.239774	0.0526315679707338	0.00277008194705797
-0.014003339631057	0.0275650113206389	-0.00543796996965374	-0.0184924904561107	-0.000342962539463445	-0.0019966081494367	-0.00333762696847264	0.000966434904493317	-0.00153673310188609	0.0019244016115959	EUR	-0.221532	-0.40686499182365	0.165539121571658
-0.0137598172385158	0.027091756039754	-0.00626117149957234	-0.0203505147170403	-0.00097994650369805	-0.00455256583649533	-0.0113593405639452	0.00368689570989408	-0.000762149265368343	0.00217763582814313	EUR	0.324659	0.135480147694011	0.018354870419191
-0.0137023854464019	0.027320346796783	-0.00527710441418471	-0.0198958408261093	-0.000686404833810071	-0.00271156645314023	-0.00706636708301678	0.00358245655491348	0.000313507260935041	-0.0018644227436442	EUR	0.973124	0.784653721842463	0.61568146320123
-0.0137066693059135	0.0273467189096245	-0.00460624219214463	-0.0193878271073171	-0.000562491661017028	-0.00141080234798367	-0.00388503414621572	0.005606736847996	-0.00167095645415552	0.00317991231732517	EUR	0.0281318	-0.160194775187914	0.0256623659975064
-0.0136110039625479	0.027588974568244	-0.00539703287610488	-0.0191606438719701	7.23327304950544e-05	-0.00384076769449385	-0.00988173889757102	0.00248408604033806	-0.00351961502143816	0.000900195949718976	EUR	-0.0513647	-0.238347923908161	0.0568097328313305
-0.0138681959194038	0.0278992404974378	-0.00596097475060385	-0.0202043587059988	-0.00188253366220709	-0.00488049208533042	-0.0106906731235275	0.00217301490660878	-0.0016725335778011	0.000486100291214019	EUR	0.0596814	-0.125369034913457	0.0157173949151316
-0.0135314508318269	0.0276141833101583	-0.00531816343109184	-0.0183659049456417	-0.000891865874965282	-0.002761310068213	-0.00821290300076178	0.00281210598453553	-0.00229212288675195	0.00053525412450691	EUR	0.163342	-0.0233206790302525	0.000543854070432058
-0.0137285109861616	0.0274888837420478	-0.00605811132475943	-0.0205762244913878	7.66849304859492e-05	-0.00372201657975789	-0.0073993079591176	0.00335085976442647	7.95040385622125e-05	-0.000965097566976214	EUR	0.363835	0.17618632180189	0.0310416199900792
-0.0136485528434667	0.0274175992607447	-0.00518564505290096	-0.0197977330246752	-0.00046512344261958	-0.00280605336763702	-0.0055012654534959	0.00407071723832519	-0.00325294981004523	-0.00143484272775379	EUR	-0.2734	-0.461572805480762	0.213049454759381
-0.013921722081572	0.0274827668679888	-0.00541892420859364	-0.0189597391745588	0.000249493980397355	-0.00405854184238092	-0.0132032004171458	0.00538939238942919	0.000143891639180701	-0.00320344632284632	EUR	0.560776	0.374473601216071	0.140230478007733
-0.0137854905284045	0.0273631297246542	-0.00519085031079358	-0.0202209376458871	1.40720554073141e-05	-0.00355308847646892	-0.00737194378128417	0.0059700105000351	-0.000669504078013568	-0.00136125781236991	EUR	0.803906	0.61566893820437	0.379048241469696
-0.013964882908902	0.0273809861931528	-0.00584833616956335	-0.019262202383187	-0.000116787036120236	-0.00551241097767656	-0.00786434834872723	0.00431177635104851	-0.00199253490461685	0.00123990019435575	EUR	0.2448	0.0581733357689079	0.0033841369944821
-0.0138367484511494	0.0274114215961012	-0.00458986510641916	-0.0188640932749493	0.000586399130954317	-0.00258833233107793	-0.00554392736966003	0.00521144193258277	-0.00168295439802932	-0.00110786803794556	EUR	0.0989795	-0.088278534596037	0.00779309967042371
-0.0139391226331469	0.0276994641167193	-0.00619013022307581	-0.0193319544002399	-0.00126112334667221	-0.00308277165058078	-0.00723870881371865	0.00312878674067109	-0.001307265201285	0.000620246590294571	EUR	0.480502	0.295411007155825	0.0872676631488188
-0.0138292352817961	0.0276254840411297	-0.00505807514253035	-0.0193372316331721	-0.00107769601479277	-0.00335884986461749	-0.0114680389930584	0.00377333120963603	-0.00191751399694425	0.00303163278278787	EUR	-0.69799	-0.884341100144764	0.782059181405251
-0.0138268286688003	0.0225819376128969	-0.00645670741790866	-0.0195115089411614	-0.00126652313019829	-0.0182599292216273	-0.0809717151692163	0.00585795318286318	0.00649773180789027	-0.00102189533943871	EUR	0.477141	0.267514419195257	0.0715639644773756
-0.0138858410195242	0.0225176728661941	-0.00636815586202441	-0.0188647877187598	-0.00135100604534026	-0.0196646133942681	-0.0820256592514227	0.00469637362578526	0.00797920315144893	-2.34044785846826e-06	EUR	0.462555	0.253193079442054	0.0641067354773504
-0.0139813033178351	0.0234084254041707	-0.00585361420500446	-0.019833328106758	-0.000549317245909316	-0.0177517196569555	-0.0700012929232472	0.00746899947823315	0.00180098596686757	0.00282978940914474	EUR	0.619636	0.413940388510121	0.17134664523991
-0.0137631573874033	0.0230297507823489	-0.00677266828330497	-0.0177170391501986	-0.00140627069649397	-0.0215653088585339	-0.0866329067063663	0.0115004202985629	0.00641127813649824	0.00098914048602687	EUR	0.476476	0.270043873971313	0.0729236938694346
